ID,deaths,pumpID,distpump,distBSpump,BSpump,COORD_X,COORD_Y
1,3,1,88.04846374,88.048,1,529308.7414,181031.3515
2,2,1,84.40041255,84.4,1,529312.1636,181025.1724
3,1,1,82.31919692,82.319,1,529314.3824,181020.2937
4,1,1,79.91687606,79.917,1,529317.3796,181014.2588
5,4,1,77.80999831,77.81,1,529320.6754,181007.8716
6,2,1,62.83390072,62.834,1,529336.6842,181006.0062
7,2,1,106.4258365,106.426,1,529290.1468,181024.366
8,2,1,95.62335323,95.623,1,529301.0229,181021.1763
9,3,2,109.8140924,111.679,0,529284.9987,181020.2036
10,2,2,107.0068018,108.423,0,529288.3594,181031.8301
11,2,2,102.7256898,115.974,0,529280.6092,181026.5717
12,1,2,84.66157224,132.246,0,529264.7209,181035.1979
13,3,2,109.027221,122.829,0,529274.9319,181008.0378
14,1,2,114.9419906,120.289,0,529278.335,181002.9523
15,4,1,118.5611207,118.561,1,529281.3501,180997.1343
16,1,2,96.3320432,137.765,0,529259.6098,181010.2834
17,1,2,100.3608599,142.308,0,529256.1829,181001.8294
18,1,1,89.09502366,89.095,1,529309.8232,181004.7254
19,4,1,86.95756944,86.957,1,529314.1322,180997.3811
20,3,1,85.52641943,85.526,1,529317.9971,180991.2747
21,2,2,74.92651031,145.814,0,529250.9579,181032.51
22,1,2,63.11596075,150.569,0,529247.969,181049.2464
23,2,2,64.73812328,165.16,0,529231.4483,181027.6747
24,2,2,69.87552444,159.875,0,529236.7109,181025.2753
25,2,2,72.0935791,152.631,0,529244.0015,181028.9335
26,1,2,63.49188728,148.54,0,529251.046,181054.7807
27,1,2,57.70942688,153.681,0,529247.0368,181060.4622
28,3,2,52.75013041,158.424,0,529243.57,181066.099
29,1,2,53.40365302,158.506,0,529241.6247,181058.3965
30,1,2,39.93646068,180.664,0,529217.4111,181048.161
31,1,2,29.99185999,187.673,0,529211.5198,181056.1818
32,1,2,45.61477797,184.728,0,529212.3405,181038.3136
33,2,2,32.71486573,206.437,0,529191.3004,181046.7091
34,2,2,38.36971384,213.025,0,529184.2458,181041.9395
35,1,2,72.72566166,236.52,0,529160.3374,181014.2059
36,1,2,73.56256775,168.538,0,529228.3415,181015.1537
37,1,2,96.29772909,213.462,0,529187.273,180983.2649
38,1,2,102.9768137,189.316,0,529213.091,180978.5161
39,2,2,110.9312921,190.584,0,529213.9659,180970.5812
40,8,2,105.1806798,179.847,0,529222.8252,180978.6968
41,2,2,102.1227137,168.137,0,529233.1226,180985.7109
42,1,2,98.06296136,179.871,0,529221.1016,180985.6096
43,1,1,134.6824623,134.682,1,529275.9228,180965.2256
44,1,2,128.9636888,145.008,0,529262.0964,180970.8382
45,1,1,134.3312145,134.331,1,529299.7702,180931.9488
46,1,8,130.6859016,136.023,0,529304.188,180925.2478
47,4,8,126.949682,136.612,0,529307.8321,180921.22
48,1,8,124.9058584,141.544,0,529302.229,180919.5695
49,1,8,135.1204543,140.659,0,529293.0157,180929.8962
50,1,8,123.3491512,133.635,0,529319.4841,180915.9268
51,1,1,120.8558934,120.855,1,529330.5163,180923.8761
52,4,1,113.9910028,113.99,1,529335.3611,180928.9184
53,1,8,125.8811612,127.453,0,529331.1103,180915.728
54,1,1,123.9699366,123.969,1,529345.1275,180912.2949
55,1,1,119.308431,119.308,1,529350.1732,180915.1693
56,1,1,122.6334842,122.633,1,529353.6865,180910.1974
57,1,1,91.69031051,91.69,1,529377.1563,180935.4713
58,2,1,84.87856925,84.878,1,529362.9326,180947.1472
59,1,1,76.95768075,76.957,1,529371.7051,180952.2455
60,1,1,83.18265642,83.182,1,529326.3397,180980.4831
61,1,1,87.87254979,87.872,1,529338.1453,180959.433
62,2,1,81.34004841,81.34,1,529346.0075,180961.3531
63,1,1,83.92034185,83.92,1,529349.7227,180955.4439
64,1,1,86.44333389,86.443,1,529352.8187,180950.5197
65,2,1,76.47625221,76.476,1,529337.8789,180976.0303
66,2,1,70.18891638,70.189,1,529335.3537,180990.7126
67,1,1,62.89874274,62.898,1,529341.9202,180993.9067
68,2,1,57.31360086,57.313,1,529347.4255,180995.5541
69,3,1,50.57872317,50.578,1,529352.8899,180999.5394
70,1,1,33.88935663,33.889,1,529367.7608,181007.1851
71,4,1,26.81786208,26.817,1,529374.0955,181010.3983
72,15,1,16.74051912,16.74,1,529383.5401,181014.5225
73,3,1,10.88759653,10.887,1,529389.1218,181017.0974
74,4,1,5.257965547,5.257,1,529394.0652,181020.4253
75,5,1,23.55608221,23.556,1,529409.1501,181005.1748
76,2,1,43.13970612,43.139,1,529420.9315,180989.4961
77,1,1,49.70187041,49.701,1,529414.6809,180978.8054
78,2,1,51.1754073,51.175,1,529407.8443,180975.1667
79,1,1,53.80037742,53.8,1,529402.6499,180971.626
80,1,1,56.86426895,56.864,1,529395.8324,180968.2192
81,1,1,63.11900974,63.118,1,529387.6644,180962.589
82,1,1,71.32406338,71.323,1,529377.1203,180956.4544
83,1,1,56.80659366,56.806,1,529419.3428,180973.0518
84,1,1,68.86206774,68.862,1,529400.9249,180956.3602
85,1,1,76.62908881,76.629,1,529404.2745,180948.847
86,1,1,71.94478314,71.944,1,529415.3397,180955.6391
87,1,1,83.83181526,83.831,1,529420.9915,180944.9013
88,1,1,95.94496209,95.944,1,529414.9372,180930.926
89,1,1,101.2965726,101.296,1,529419.2308,180926.37
90,1,1,102.8592368,102.859,1,529431.7019,180928.4315
91,1,6,98.12024338,109.531,0,529435.6864,180922.7989
92,2,6,91.64541658,116.238,0,529438.6092,180916.7404
93,1,6,81.50054993,126.987,0,529443.8151,180907.2428
94,1,6,94.41848507,112.496,0,529424.1793,180916.0475
95,4,6,49.94376161,158.495,0,529450.8392,180876.2073
96,2,6,60.2613927,150.914,0,529456.3103,180886.536
97,1,6,54.98376111,157.754,0,529460.4648,180880.8894
98,4,6,49.58938152,166.272,0,529466.4187,180874.2389
99,4,6,67.15732805,194.771,0,529508.1322,180865.4969
100,1,6,77.98998902,178.417,0,529505.9059,180884.1597
101,4,6,86.79444779,150.201,0,529488.0284,180905.9945
102,1,6,77.48683826,157.664,0,529487.216,180896.1374
103,1,6,80.74756908,150.567,0,529482.7076,180901.6421
104,2,1,105.9915837,105.991,1,529461.3302,180941.218
105,1,1,101.5864536,101.586,1,529453.9803,180941.3104
106,2,1,88.63752734,88.637,1,529446.4651,180951.8539
107,3,1,81.36464364,81.364,1,529442.3386,180957.8404
108,1,1,71.98716527,71.987,1,529436.4408,180965.1707
109,4,1,64.66885822,64.668,1,529431.7764,180970.8593
110,1,1,65.47956702,65.479,1,529438.4288,180974.7598
111,1,1,57.88056231,57.88,1,529434.3443,180981.2562
112,7,1,112.918105,112.918,1,529491.0906,180963.3926
113,3,1,120.7413238,120.741,1,529505.2043,180972.5082
114,8,5,85.03662099,166.843,0,529539.2129,180938.6635
115,1,5,64.70283164,195.947,0,529548.7067,180901.6999
116,1,5,95.66536219,172.209,0,529517.7565,180902.8116
117,5,1,110.9660101,110.966,1,529505.9895,181006.9801
118,8,5,116.1583558,161.058,0,529555.1529,180997.3778
119,2,5,130.5625066,151.417,0,529547.0942,181009.3486
120,1,5,121.6807137,157.249,0,529552.0351,181001.9518
121,1,5,140.613799,144.471,0,529540.7576,181017.2715
122,2,1,140.8615963,140.862,1,529537.3492,181023.3085
123,1,1,136.0905792,136.091,1,529532.3724,181032.764
124,2,1,133.0988816,133.099,1,529528.9303,181038.3927
125,2,1,99.94203243,99.942,1,529494.9318,181042.4281
126,3,1,123.2549877,123.255,1,529519.1652,181037.1417
127,1,1,106.8784816,106.879,1,529500.7792,181048.5246
128,2,1,93.21958603,93.22,1,529487.9894,181043.0003
129,2,1,114.8960665,114.896,1,529507.1528,181056.0168
130,3,1,61.5167903,61.517,1,529457.0157,181013.8944
131,1,1,65.43170705,65.432,1,529459.8788,181008.7246
132,2,1,68.48100709,68.481,1,529461.5,181003.4516
133,1,1,78.16192955,78.162,1,529468.3482,180994.253
134,1,1,82.88540365,82.885,1,529471.466,180989.679
135,1,1,95.72513603,95.725,1,529478.7776,180976.1252
136,1,1,58.56628041,58.566,1,529454.7315,181018.6053
137,3,1,44.92237269,44.923,1,529439.1615,181039.2126
138,3,1,38.02367105,38.024,1,529432.9371,181036.0252
139,3,1,31.29534904,31.296,1,529426.9001,181032.6168
140,3,5,109.8539493,142.654,0,529514.4343,180944.8172
141,1,5,96.87429911,155.02,0,529528.778,180944.2518
142,2,5,101.5256041,150.971,0,529521.7032,180940.7233
143,1,5,106.4384474,147.452,0,529514.5948,180936.7865
144,1,5,111.3535465,222.293,0,529618.1135,181008.0182
145,1,5,123.3354832,236.578,0,529632.9575,181018.5126
146,2,5,114.6593982,235.035,0,529631.0256,181010.0377
147,1,5,132.6681192,259.439,0,529655.8894,181022.3788
148,1,5,158.8535813,186.733,0,529581.2123,181052.3572
149,1,5,168.3774921,185.055,0,529577.9373,181061.3983
150,2,5,171.2110477,177.471,0,529569.9812,181062.4195
151,2,5,157.9432771,180.045,0,529574.802,181049.9617
152,1,1,174.6314353,174.632,1,529561.4028,181082.4962
153,1,1,175.1864759,175.187,1,529565.2841,181071.9432
154,1,1,142.1886458,142.189,1,529531.7723,181068.8577
155,1,1,141.7999052,141.8,1,529525.9822,181082.8572
156,1,1,131.6235686,131.624,1,529509.9124,181091.8564
157,1,1,124.4227394,124.423,1,529516.8713,181056.5635
158,1,1,145.7338853,145.734,1,529518.3093,181105.0521
159,5,1,181.1369291,181.137,1,529565.3579,181090.576
160,1,1,181.839954,181.84,1,529571.0881,181075.8505
161,1,1,179.0673001,179.068,1,529554.3325,181109.6086
162,2,1,178.3363801,178.337,1,529548.3722,181118.5101
163,2,1,179.5530904,179.554,1,529545.9518,181124.5453
164,1,1,171.0487206,171.049,1,529533.4907,181127.4603
165,1,1,193.2442398,193.245,1,529553.3977,181137.8344
166,1,1,207.7362976,207.737,1,529566.3186,181144.6649
167,1,1,207.6176106,207.618,1,529567.6843,181142.4927
168,2,1,214.4251244,214.426,1,529573.9322,181145.4105
169,2,1,214.6617735,214.662,1,529572.7369,181147.5687
170,5,1,237.2902578,237.291,1,529590.6946,181161.3646
171,1,1,229.9780753,229.979,1,529583.7648,181158.5029
172,1,1,232.6511046,232.652,1,529588.867,181155.8511
173,1,1,241.8418002,241.842,1,529597.4154,181159.6092
174,1,1,243.1847822,243.185,1,529595.9055,181164.1962
175,4,1,248.1649814,248.165,1,529600.6911,181166.0331
176,1,1,256.6785452,256.679,1,529608.3871,181169.8615
177,2,1,261.6063324,261.607,1,529615.1501,181168.6175
178,1,1,267.3835233,267.384,1,529620.1906,181171.4632
179,1,1,316.4954805,316.496,1,529541.685,181306.2133
180,1,1,228.2760713,228.277,1,529489.0418,181233.6867
181,1,1,219.7017481,219.702,1,529479.7139,181228.3451
182,1,1,170.3673813,170.368,1,529437.1529,181190.4693
183,3,1,167.4372261,167.438,1,529382.8327,181191.8911
184,1,1,175.0801649,175.081,1,529397.9508,181200.0883
185,1,1,146.5092592,146.51,1,529463.6893,181155.231
186,2,1,173.3995606,173.4,1,529468.1926,181182.9118
187,1,1,177.3591047,177.36,1,529518.8144,181153.4652
188,1,1,184.8595183,184.86,1,529530.654,181152.2117
189,1,1,210.9034228,210.904,1,529520.6151,181195.5335
190,1,1,134.4354462,134.436,1,529460.482,181143.2747
191,1,1,140.5855822,140.586,1,529470.3193,181144.6859
192,2,1,131.2957495,131.296,1,529464.4412,181137.3936
193,1,1,131.2224483,131.223,1,529480.9569,181125.4782
194,1,1,123.7243845,123.725,1,529469.7857,181124.7325
195,2,1,127.6383518,127.639,1,529485.2404,181116.7929
196,3,1,118.9037395,118.904,1,529477.1069,181112.4639
197,2,1,117.3392649,117.34,1,529424.309,181139.035
198,1,1,112.0799193,112.08,1,529417.3244,181135.1667
199,1,1,137.3698202,137.37,1,529424.0604,181159.6084
200,1,1,141.9154223,141.916,1,529431.2526,181162.6262
201,1,1,145.4259078,145.426,1,529437.2505,181164.6316
202,1,1,144.1319825,144.133,1,529420.7894,181167.0992
203,2,1,138.3461829,138.347,1,529410.1503,181162.699
204,3,1,131.0317161,131.032,1,529374.7345,181154.2304
205,3,1,105.3819611,105.382,1,529375.6546,181128.3245
206,1,1,106.2565618,106.257,1,529384.7325,181130.6315
207,1,1,80.1934261,80.194,1,529386.7561,181104.6348
208,3,1,89.79312697,89.794,1,529392.3098,181114.7312
209,1,1,69.07575779,69.076,1,529391.7081,181093.9502
210,1,1,85.14110119,85.142,1,529432.388,181102.2627
211,1,1,95.42845725,95.429,1,529443.6925,181107.9968
212,1,1,100.0950846,100.096,1,529448.8855,181110.3462
213,2,1,107.3390829,107.34,1,529455.3639,181114.8117
214,2,1,95.70803576,95.709,1,529451.3693,181103.4754
215,4,1,86.10393204,86.104,1,529440.4543,181099.0979
216,5,1,79.38957825,79.39,1,529434.2746,181094.8856
217,2,1,75.54820365,75.549,1,529429.403,181093.0652
218,5,1,97.95112528,97.952,1,529477.2509,181080.5117
219,5,1,115.8554731,115.856,1,529484.4507,181100.4713
220,3,1,90.74947876,90.75,1,529470.6104,181077.4484
221,3,1,83.38655031,83.387,1,529463.9471,181074.1092
222,1,1,73.07686638,73.077,1,529454.6646,181069.3193
223,5,1,65.79417077,65.795,1,529448.5076,181065.3829
224,4,1,59.66711889,59.668,1,529442.487,181063.1017
225,4,1,42.73679544,42.737,1,529427.093,181054.9272
226,1,1,16.82743225,16.828,1,529402.3256,181040.8593
227,4,1,13.03901788,13.04,1,529395.7078,181038.0718
228,1,1,11.87058137,11.871,1,529389.5962,181034.6871
229,3,1,16.12785567,16.128,1,529381.8522,181031.7147
