ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y
1,Before 1851,1,0,0,529329.9704,180846.5853
2,Before 1851,1,0,0,529316.9394,180846.9733
3,Before 1851,1,0,0,529323.9702,180835.3511
4,Before 1851,1,0,0,529291.026,180792.4894
5,Before 1851,1,0,0,529370.0451,180791.8477
6,Before 1851,1,0,0,529363.6286,180800.4385
7,Before 1851,1,0,0,529360.027,180789.2358
8,Before 1851,1,0,0,529394.1149,180750.0364
9,Before 1851,1,0,0,529392.1096,180746.2817
10,Before 1851,1,0,0,529444.6554,180778.4276
11,Before 1851,1,0,0,529433.8361,180790.7782
12,Before 1851,1,0,0,529430.8646,180787.8406
13,Before 1851,1,0,0,529408.3328,180826.9973
14,Before 1851,1,0,0,529404.305,180820.1608
15,Before 1851,1,0,0,529397.3058,180826.8849
16,Before 1851,1,0,0,529374.2582,180873.9409
17,Before 1851,1,0,0,529500.6323,181018.0678
18,Before 1851,1,0,0,529502.4105,181014.2411
19,Before 1851,1,0,0,529463.6552,181059.3813
20,Before 1851,1,0,0,529474.1012,181053.4185
21,Before 1851,1,0,0,529469.3028,181002.6232
22,Before 1851,1,0,0,529465.2217,181002.0142
23,Before 1851,1,0,0,529379.3021,180931.6447
24,Before 1851,1,0,0,529365.3424,180935.3297
25,Before 1851,1,0,0,529368.3974,180930.8621
26,Before 1851,1,0,0,529347.1062,180917.1889
27,Before 1851,1,0,0,529337.0862,180910.5367
28,Before 1851,1,0,0,529346.9326,180911.629
29,Before 1851,1,0,0,529342.2643,180909.3216
30,Before 1851,1,0,0,529363.782,180881.0816
31,Before 1851,1,0,0,529366.8457,180884.5266
32,Before 1851,1,0,0,529370.7317,180863.9186
33,Before 1851,1,0,0,529366.9312,180872.9127
34,Before 1851,1,0,0,529202.9959,181051.3148
35,Before 1851,1,0,0,529206.5013,181054.714
36,Before 1851,1,0,0,529382.1196,181127.8143
37,Before 1851,1,0,0,529385.9225,181143.9684
38,Before 1851,1,0,0,529384.7696,181148.6543
39,Before 1851,1,0,0,529376.3336,181155.1938
40,Before 1851,1,0,0,529371.6615,181154.4376
41,Before 1851,1,0,0,529411.8059,181030.8668
42,Before 1851,1,0,0,529417.5587,181039.6983
43,Before 1851,1,0,0,529422.3612,181041.9694
44,Before 1851,1,0,0,529430.6001,181040.9257
45,Before 1851,1,0,0,529430.1626,181027.3948
46,Before 1851,1,0,0,529481.8873,181057.2221
47,Before 1851,1,0,0,529489.2142,181075.8797
48,Before 1851,1,0,0,529502.9138,181066.5847
49,Before 1851,1,0,0,529495.5666,181086.7481
50,Before 1851,1,0,0,529500.1459,181089.1532
51,Before 1851,1,0,0,529321.8057,180849.8316
52,Before 1851,1,0,0,529335.3658,180839.239
53,Before 1851,1,0,0,529296.7445,180874.811
54,Before 1851,1,0,0,529298.5376,180878.4546
55,Before 1851,1,0,0,529299.4864,180883.5158
56,Before 1851,1,0,0,529289.252,180876.3474
57,Before 1851,1,0,0,529289.6404,180882.2579
58,Before 1851,1,0,0,529311.3053,180902.5256
59,Before 1851,1,0,0,529314.8584,180904.0552
60,Before 1851,1,0,0,529293.7624,180924.962
61,Before 1851,1,0,0,529297.2935,180927.3545
62,Before 1851,1,0,0,529250.1522,180983.7219
63,Before 1851,1,0,0,529254.2931,180986.8494
64,Before 1851,1,0,0,529242.684,180994.9013
65,Before 1851,1,0,0,529246.4733,180997.7321
66,Before 1851,1,0,0,529211.413,181052.2483
67,Before 1851,1,0,0,529206.1584,181043.4798
68,Before 1851,1,0,0,529183.0954,181223.6575
69,Before 1851,1,0,0,529211.2982,181013.4682
70,Before 1851,1,0,0,529192.2292,181002.4138
71,Before 1851,1,0,0,529194.499,181068.1392
72,Before 1851,1,0,0,529545.9128,180936.7611
73,Before 1851,1,0,0,529574.5769,180958.3004
74,Before 1851,1,0,0,529573.0883,181013.2135
75,Before 1851,1,0,0,529565.0358,181039.2233
76,Before 1851,1,0,0,529634.6688,181009.38
77,Before 1851,1,1,0,529260.6316,180767.9187
78,Before 1851,1,1,0,529178.1197,180875.198
79,Before 1851,1,0,0,529435.5236,181131.6788
80,Before 1851,1,0,0,529425.9287,181126.2855
81,Before 1851,1,0,0,529437.7938,181116.7442
82,Before 1851,1,0,0,529451.5437,181099.982
83,Before 1851,1,0,0,529449.5356,181104.6254
84,Before 1851,1,1,0,529483.0775,181242.462
85,Before 1851,1,1,0,529506.452,181071.8323
86,Before 1851,1,1,0,529452.6252,181175.5439
87,Before 1851,1,1,0,529378.1599,181315.2729
88,Before 1851,1,1,0,529429.8471,181034.0325
89,Before 1851,1,0,0,529473.3475,180987.7263
90,Before 1851,1,1,0,529206.9016,181050.9061
91,Before 1851,1,1,0,529246.6442,180994.2298
92,Before 1851,1,1,0,529398.6089,180738.5056
93,Before 1851,1,1,0,529437.9796,180783.5868
94,Before 1851,1,1,0,529151.3551,181014.0685
95,Before 1851,1,1,0,529219.9163,180970.9931
96,Before 1851,1,1,0,529140.6943,181092.1925
97,Before 1851,1,1,0,529118.2571,180990.8923
98,Before 1851,1,0,0,529374.6645,180717.6082
99,Before 1851,1,1,0,529359.1805,180711.949
100,Before 1851,1,0,0,529260.8215,181140.9712
101,Before 1851,1,0,0,529524.1625,180972.7081
102,Before 1851,1,0,0,529529.6255,180972.679
103,Before 1851,1,0,0,529540.9185,180945.8625
104,Before 1851,1,0,0,529547.9239,180951.2599
105,Before 1851,1,0,0,529549.6722,180948.6109
106,Before 1851,1,0,0,529554.8685,180992.0092
107,Before 1851,1,0,0,529557.7564,180994.103
108,Before 1851,1,0,0,529574.9258,180971.6452
109,Before 1851,1,0,0,529611.5703,180988.7412
110,Before 1851,1,0,0,529609.2629,180992.7227
111,Before 1851,1,0,0,529611.4671,181001.028
112,Before 1851,1,0,0,529616.6323,181000.318
113,Before 1851,1,0,0,529621.3776,180999.5973
114,Before 1851,1,0,0,529651.993,181022.432
115,Before 1851,1,0,0,529549.3999,181049.9503
116,Before 1851,1,0,0,529522.505,181050.1065
117,Before 1851,1,0,0,529517.8198,181048.472
118,Before 1851,1,0,0,529655.3117,180778.7679
119,Before 1851,1,0,0,529661.9978,180779.9168
120,Before 1851,1,0,0,529647.3846,180926.1195
121,Before 1851,1,0,0,529631.6639,180948.4744
122,Before 1851,1,0,0,529626.3616,180955.4943
123,Before 1851,1,0,0,529635.0476,180956.4196
124,Before 1851,1,0,0,529637.2239,180957.1789
125,Before 1851,1,0,0,529521.7847,180779.7175
126,Before 1851,1,0,0,529518.3475,180775.9494
127,Before 1851,1,0,0,529503.6548,180770.1959
128,Before 1851,1,0,0,529535.878,180757.003
129,Before 1851,1,0,0,529527.6364,180744.1944
130,Before 1851,1,0,0,529533.1904,180744.6191
131,Before 1851,1,0,0,529484.649,180948.6373
132,Before 1851,1,0,0,529501.1714,180918.5871
133,Before 1851,1,0,0,529518.3623,180895.2879
134,Before 1851,1,0,0,529522.8471,180974.8631
135,Before 1851,1,0,0,529109.6782,181240.2241
136,Before 1851,1,0,0,529063.9942,181233.1435
137,Before 1851,1,0,0,529129.1741,181242.1994
138,Before 1851,1,0,0,529189.4315,181267.2389
139,Before 1851,1,0,0,529199.1508,181255.1174
140,Before 1851,1,0,0,529264.0459,181271.5497
141,Before 1851,1,0,0,529262.0232,181284.4702
142,Before 1851,1,0,0,529310.6069,181298.3765
143,Before 1851,1,0,0,529314.1498,181284.8914
144,Before 1851,1,0,0,529324.3955,181289.0739
145,Before 1851,1,0,0,529339.2249,181305.44
146,Before 1851,1,0,0,529370.8639,181319.519
147,Before 1851,1,0,0,529378.3418,181321.5194
148,Before 1851,1,0,0,529377.8312,181304.6127
149,Before 1851,1,0,0,529395.5125,181319.8449
150,Before 1851,1,0,0,529400.5374,181307.3026
151,Before 1851,1,0,0,529520.7512,180683.7435
152,Before 1851,1,0,0,529526.9254,180688.1546
153,Before 1851,1,0,0,529585.3237,180666.1355
154,Before 1851,1,0,0,529584.7565,180671.942
155,Before 1851,1,0,0,529612.5797,180660.114
156,Before 1851,1,0,0,529604.2083,180670.6469
157,Before 1851,1,0,0,529611.2399,180679.7815
158,Before 1851,1,0,0,529620.2036,180678.8907
159,Before 1851,1,0,0,529678.3284,180859.8963
160,Before 1851,1,0,0,529676.8103,180874.0672
161,Before 1851,1,0,0,529682.6387,180877.305
162,Before 1851,1,0,0,529690.0267,180874.8163
163,Before 1851,1,0,0,529692.3148,180870.756
164,Before 1851,1,0,0,529672.7801,181028.7664
165,Before 1851,1,0,0,529671.8406,181037.7302
166,Before 1851,1,0,0,529697.1138,181040.9069
167,Before 1851,1,0,0,529695.5865,181045.0453
168,Before 1851,1,0,0,529189.6846,180877.9231
169,Before 1851,1,0,0,529212.5203,180845.4496
170,Before 1851,1,0,0,529267.2674,180770.8591
171,Before 1851,1,0,0,529265.4389,180774.3002
172,Before 1851,1,0,0,529256.7174,180774.9503
173,Before 1851,1,0,0,529237.263,180752.658
174,Before 1851,1,0,0,529234.7821,180756.0825
175,Before 1851,1,0,0,529243.4463,180766.2425
176,Before 1851,1,0,0,529320.3704,180696.7142
177,Before 1851,1,0,0,529316.109,180698.19
178,Before 1851,1,0,0,529305.7459,180702.8232
